ax,ay,az,gx,gy,gz
0.674072,-0.577393,0.436279,6.278991,1.564026,-9.57489
0.673828,-0.578857,0.418457,4.112244,5.432128,-10.742187
0.643799,-0.581543,0.393799,2.510071,8.018494,-11.795043
0.624756,-0.592285,0.369141,0.915527,8.010864,-13.46588
0.634277,-0.613037,0.35083,-0.724792,5.813598,-15.884398
0.664551,-0.636475,0.338867,-1.930237,3.913879,-17.829895
0.696289,-0.664551,0.331543,-2.39563,4.020691,-18.928528
0.718018,-0.691406,0.334717,-1.548767,6.713867,-19.042969
0.7146,-0.695801,0.336914,-0.358582,11.45172,-18.592834
0.702637,-0.697998,0.328125,0.999451,17.059326,-18.547058
0.692627,-0.717529,0.313232,2.243042,22.40753,-18.478394
0.664551,-0.738281,0.295166,2.555847,26.756285,-18.058777
0.647949,-0.74585,0.270752,1.846313,28.96118,-17.448425
0.656738,-0.745605,0.233643,0.358582,29.365538,-16.838074
0.668457,-0.741455,0.203369,-1.304626,28.923033,-15.335082
0.679443,-0.731689,0.174805,-2.174377,29.45709,-13.22174
0.67627,-0.726807,0.153809,-2.342224,29.899595,-10.360717
0.613281,-0.726074,0.146973,-2.807617,33.607483,-7.484436
0.615967,-0.734131,0.132568,-4.302979,36.964417,-6.858825
0.594727,-0.719971,0.138428,-7.93457,35.049438,-4.692078
0.55957,-0.707764,0.112305,-14.183043,33.470154,-2.540588
0.547363,-0.704834,0.076416,-20.614622,31.654356,-1.167297
0.537598,-0.696289,0.045654,-25.894163,28.137205,0.724792
0.529297,-0.686768,0.02002,-31.555174,23.864744,2.784729
0.526123,-0.680908,-0.00708,-38.528442,18.661499,4.432678
0.523926,-0.666016,-0.021484,-45.82214,9.780884,7.019042
0.515625,-0.64624,-0.043457,-54.023739,-2.487183,11.047362
0.510254,-0.62793,-0.100342,-61.996456,-17.204285,15.190124
0.515625,-0.61377,-0.136963,-67.565918,-33.874512,18.676758
0.494629,-0.599121,-0.140869,-70.724487,-50.376888,21.598814
0.479004,-0.591553,-0.121826,-72.395325,-65.032959,22.766111
0.486816,-0.589844,-0.082764,-73.410034,-76.690674,22.850035
0.501709,-0.605957,-0.060547,-73.722839,-84.419243,23.41461
0.530762,-0.642578,-0.058105,-73.257446,-88.272087,23.895262
0.534668,-0.677734,-0.063721,-72.174072,-89.279167,24.223326
0.525635,-0.691895,-0.062256,-70.1828,-89.11132,23.147581
0.519531,-0.687256,-0.068848,-66.795349,-89.584343,20.278929
0.538818,-0.685059,-0.073242,-61.729427,-90.12603,15.686034
0.575684,-0.697021,-0.077881,-55.595394,-89.37072,10.894774
0.589111,-0.70874,-0.066162,-48.248287,-88.142387,7.759094
0.568604,-0.733643,-0.05835,-41.610714,-89.141838,5.874633
0.555908,-0.780518,-0.073486,-35.545349,-94.779961,3.128052
0.585938,-0.830078,-0.094971,-26.420591,-101.760857,-1.792908
0.638672,-0.835449,-0.08374,-11.848449,-103.126518,-7.598876
0.692383,-0.827637,-0.002197,5.279541,-95.718376,-14.556884
0.714111,-0.790771,0.182129,19.866943,-84.07592,-21.057127
0.734131,-0.802734,0.283936,32.104492,-75.98114,-25.726316
0.749512,-0.777832,0.382568,42.976376,-78.941345,-25.268553
0.803955,-0.71167,0.411377,44.281002,-89.637749,-22.712706
0.865967,-0.671875,0.358154,35.636902,-97.038261,-18.325806
0.919922,-0.69751,0.169434,25.352476,-91.583244,-12.527465
0.913086,-0.735107,-0.027588,21.080015,-75.485229,-6.67572
0.832031,-0.729004,-0.117432,22.071836,-54.481503,-1.426697
0.718994,-0.70874,-0.159668,24.116514,-35.354614,2.632141
0.612549,-0.684326,-0.17749,25.398252,-25.421141,5.531311
0.532959,-0.641113,-0.175049,25.29907,-25.955198,6.507873
0.499023,-0.600342,-0.171875,23.643492,-34.858704,4.692078
0.515381,-0.576904,-0.178223,21.377562,-46.997066,1.556396
0.547607,-0.577393,-0.202393,19.645691,-56.358334,-1.800537
0.588623,-0.583984,-0.203613,20.416258,-59.669491,-6.217956
0.637451,-0.60083,-0.176758,21.52252,-58.105465,-10.551452
0.635742,-0.636719,-0.165771,21.621702,-53.482052,-12.191772
0.601318,-0.658447,-0.165283,22.193907,-48.866268,-12.199401
0.57251,-0.655273,-0.134766,23.551939,-47.630306,-13.72528
0.555664,-0.654541,-0.117676,23.696898,-47.264095,-16.265869
0.562744,-0.67749,-0.106689,22.743223,-46.592709,-17.875671
0.5979,-0.706787,-0.090332,21.682737,-46.890255,-18.783569
0.64502,-0.732666,-0.081055,19.569397,-47.126766,-18.089294
0.6875,-0.759277,-0.077637,16.838074,-44.891354,-15.571593
