t,ax,ay,az,gx,gy,gz,acc_mag
0 days 00:01:30.420000,0.208008,1.004639,-0.169678,-1.243591,1.312256,8.583069,1.039883393496117
0 days 00:01:30.430000,0.218994,1.005615,-0.161621,-1.579285,2.227783,8.636475,1.041797124157098
0 days 00:01:30.440000,0.227295,1.002686,-0.151611,-1.747131,2.983093,8.224487,1.039244017034498
0 days 00:01:30.450000,0.22583,1.000977,-0.143799,-1.846313,3.509521,7.637023,1.036162292225499
0 days 00:01:30.460000,0.224121,0.998535,-0.139648,-1.724243,3.814697,7.011413,1.0328620105173778
0 days 00:01:30.470000,0.218994,0.996094,-0.138184,-1.571655,3.662109,6.16455,1.0292018493609503
0 days 00:01:30.480000,0.212646,0.990723,-0.137207,-1.472473,2.914428,5.386352,1.022534177861063
0 days 00:01:30.490000,0.206299,0.983887,-0.13501,-1.190186,1.907349,4.653931,1.0143079444971335
0 days 00:01:30.500000,0.190674,0.996826,-0.183838,-0.518799,-1.869202,6.744384,1.0314141063588378
0 days 00:01:30.510000,0.201904,0.982666,-0.13501,-0.984192,0.854492,4.066467,1.0122378143855326
0 days 00:01:30.520000,0.200928,0.979004,-0.138916,-0.480652,0.076294,2.883911,1.0090186064964313
0 days 00:01:30.530000,0.201172,0.980225,-0.139404,-0.183105,0.572205,2.624511,1.0103191077204272
0 days 00:01:30.540000,0.202393,0.980225,-0.139893,0.160217,1.449585,2.288818,1.010630510385967
0 days 00:01:30.550000,0.199951,0.984131,-0.141846,0.495911,2.456665,1.838684,1.0142063474845737
0 days 00:01:30.560000,0.198975,0.98584,-0.147705,0.671387,3.242492,1.571655,1.016507906142397
0 days 00:01:30.570000,0.197998,0.990234,-0.149414,0.862122,3.677368,1.228333,1.0208286468139498
0 days 00:01:30.580000,0.196533,0.991699,-0.154297,0.862122,3.974914,0.938415,1.0226923735410371
0 days 00:01:30.590000,0.193604,0.986816,-0.157959,0.907898,4.348755,0.63324,1.0179584335094436
0 days 00:01:30.600000,0.190186,0.985596,-0.160889,0.930786,4.91333,0.37384,1.0165901141231897
0 days 00:01:30.610000,0.189209,0.986816,-0.165039,0.907898,5.767822,0.099182,1.018255240623882
0 days 00:01:30.620000,0.200684,0.978516,-0.135986,-0.823975,0.160217,3.387451,1.008097129401726
0 days 00:01:30.630000,0.184814,0.996582,-0.187744,-0.564575,-3.204345,5.729675,1.0308150691836049
0 days 00:01:30.640000,0.135986,1.002197,-0.111328,-0.595093,-7.575988,0.267029,1.017489529473891
0 days 00:01:30.650000,0.18042,1.001953,-0.185303,-0.717163,-6.561279,3.311157,1.0347938888580663
0 days 00:01:30.660000,0.136963,1.00293,-0.109131,-0.602722,-11.093139,0.823975,1.018104623027516
0 days 00:01:30.670000,0.14209,1.005371,-0.10376,-0.87738,-12.893676,0.984192,1.020650064096897
0 days 00:01:30.680000,0.151367,1.006836,-0.100586,-1.022339,-14.656066,1.068115,1.0231071512705794
0 days 00:01:30.690000,0.15625,1.010742,-0.097656,-1.350403,-16.548157,1.091003,1.0273997018687517
0 days 00:01:30.700000,0.16333,1.010986,-0.095703,-1.76239,-18.363953,1.045227,1.028556486200442
0 days 00:01:30.710000,0.169434,1.008057,-0.092041,-2.113342,-20.156858,0.701904,1.0263324711252197
0 days 00:01:30.720000,0.18042,0.999512,-0.188232,-0.610352,-4.707336,4.53186,1.0329602607883808
0 days 00:01:30.730000,0.182129,1.006348,-0.094238,-2.563476,-23.384092,-0.335693,1.027028758306699
0 days 00:01:30.740000,0.185791,1.002441,-0.099854,-2.792358,-24.658201,-1.083374,1.0243910754580008
0 days 00:01:30.750000,0.189697,1.002197,-0.102783,-3.089905,-25.619505,-1.64032,1.0251576092030923
0 days 00:01:30.760000,0.190674,1.002686,-0.109375,-3.196716,-26.260374,-2.01416,1.0264982608348636
0 days 00:01:30.770000,0.176758,1.008301,-0.091797,-2.39563,-21.873472,0.25177,1.0277845038596367
0 days 00:01:30.780000,0.19043,1.006592,-0.115234,-3.471374,-26.969908,-2.403259,1.0309073256699652
0 days 00:01:30.790000,0.193848,1.003662,-0.120361,-3.410339,-26.802061,-2.403259,1.0292721834718939
0 days 00:01:30.800000,0.196045,0.99585,-0.124756,-3.227234,-25.856016,-2.281189,1.0226020360144996
0 days 00:01:30.810000,0.19751,0.99707,-0.131836,-2.845764,-24.368284,-1.976013,1.0249582995888173
0 days 00:01:30.820000,0.197998,1.000732,-0.136719,-2.830505,-22.499083,-1.64032,1.0292520725211098
0 days 00:01:30.830000,0.196289,1.001953,-0.143799,-2.593994,-20.39337,-1.266479,1.0310758158986177
0 days 00:01:30.840000,0.193115,1.0,-0.151123,-2.26593,-17.929077,-0.640869,1.0296269054147722
0 days 00:01:30.850000,0.192383,0.999756,-0.161133,-1.693725,-15.121459,0.061035,1.0307701595962118
0 days 00:01:30.860000,0.19043,0.998779,-0.171143,-1.296997,-11.95526,1.00708,1.031073713266903
0 days 00:01:30.870000,0.184326,1.000977,-0.179443,-0.915527,-8.972168,2.075195,1.0335041456394842
0 days 00:01:30.880000,0.192139,1.005371,-0.111816,-3.334045,-26.763914,-2.326965,1.029655797253626
0 days 00:01:30.890000,0.179688,0.996582,-0.138184,0.007629,-2.182007,-0.549316,1.0220363388471077
0 days 00:01:30.900000,0.17627,0.995117,-0.135498,0.076294,-1.907349,-0.511169,1.0196512465509961
0 days 00:01:30.910000,0.17627,0.995605,-0.135742,0.137329,-1.701355,-0.434875,1.0201599479929606
0 days 00:01:30.920000,0.178223,0.995117,-0.135498,0.160217,-1.358032,-0.579834,1.0199906810466457
0 days 00:01:30.930000,0.178223,0.999268,-0.132568,0.389099,-0.198364,-0.579834,1.0236572903941046
0 days 00:01:30.940000,0.176025,0.998535,-0.134033,0.236511,-0.915527,-0.617981,1.0227520676776949
